;Códigodo_fundo;Setor;Preço_Atual;Liquidez_Diária;Dividendo;DividendYield;DY_(3M)Acumulado;DY_(6M)Acumulado;DY_(12M)Acumulado;DY_(3M)Média;DY_(6M)Média;DY_(12M)Média;DY_Ano;Variação_Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab._Patr.no_Período;Rentab._Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
43;MORE11;Títulos e Val. Mob.;75.50;4848.0;0.65;0.94;3.30;6.25;11.57;1.10;1.04;0.96;7.17;6.80;7.80;-2.33;202.952.841.10;87.51;86.0;0.80;-2.21;-1.43;-0.66;0;0;0
44;MGCR11;Títulos e Val. Mob.;90.68;1050.0;1.35;1.57;4.35;7.99;14.12;1.45;1.33;1.18;9.12;0.30;1.88;6.84;135.199.801.61;95.06;95.0;1.05;-0.02;1.04;2.10;0;0;0
45;NAVT11;Títulos e Val. Mob.;78.18;1994.0;0.85;1.15;3.50;6.84;11.97;1.17;1.14;1.00;7.87;2.37;3.56;9.56;95.026.051.40;90.11;87.0;0.94;-0.93;0.00;0.82;0;0;0
46;BLCP11;Outros;87.58;1.0;0.52;0.61;1.76;3.55;6.62;0.59;0.59;0.55;4.19;-0.05;0.56;10.73;225.875.176.13;98.37;89.0;0.52;-0.01;0.51;1.03;6.20;0;2
47;AFHI11;Títulos e Val. Mob.;101.10;6305.0;1.30;1.31;4.08;8.01;15.22;1.36;1.34;1.27;9.29;-0.32;0.98;6.69;173.824.946.40;97.24;104.0;1.39;0.44;1.83;3.20;0;0;0
48;OUFF11;Títulos e Val. Mob.;66.80;5161.0;0.75;1.15;3.47;6.65;12.32;1.16;1.11;1.03;7.69;2.54;3.72;7.68;139.833.493.16;77.07;87.0;0.97;-0.63;0.33;3.08;0;0;0
49;OURE11;Títulos e Val. Mob.;84.10;685.0;1.15;1.42;4.22;7.47;14.42;1.41;1.25;1.20;8.34;0.27;1.70;1.91;99.254.299.76;92.15;91.0;1.25;-0.67;0.57;6.35;0;0;0
50;CORM11;Híbrido;81.00;412.0;0.77;0.90;2.76;5.35;11.38;0.92;0.89;0.95;6.20;-2.97;-2.10;-4.27;92.123.992.72;90.56;89.0;0.89;-2.33;-1.45;0.21;0;0;0
51;ARCT11;Híbrido;103.19;11414.0;1.02;1.00;3.79;8.74;16.82;1.26;1.46;1.40;10.11;-4.84;-3.89;3.29;288.419.391.70;100.20;103.0;1.64;0.23;1.87;3.40;0;0;4
52;RZAK11;Títulos e Val. Mob.;101.94;12966.0;1.50;1.52;5.03;9.47;16.17;1.68;1.58;1.35;10.83;0.23;1.75;15.59;282.821.145.09;94.22;108.0;1.27;0.35;1.63;3.03;0;0;0
53;AFOF11;Títulos e Val. Mob.;91.60;768.0;1.06;1.21;3.59;7.00;12.92;1.20;1.17;1.08;8.07;-1.47;-0.28;4.74;67.881.547.92;98.21;93.0;1.08;0.78;1.87;4.64;0;0;0
54;BLMC11;Outros;87.50;221.0;1.17;1.37;3.98;7.52;13.98;1.33;1.25;1.16;8.64;-1.71;-0.37;-5.14;39.210.716.39;98.15;89.0;1.11;-0.01;1.10;2.07;0;0;0
55;RECX11;Outros;78.25;15.0;0.80;1.12;2.91;5.81;11.88;0.97;0.97;0.99;6.86;-8.11;-7.08;-19.38;18.909.897.31;86.62;90.0;0.92;-1.55;-0.64;0.48;0;0;0
56;SNFF11;Títulos e Val. Mob.;89.15;6934.0;0.65;0.71;2.94;5.25;9.65;0.98;0.88;0.80;5.99;3.41;4.14;10.93;228.274.891.17;91.31;98.0;0.71;-1.06;-0.35;0.35;0;0;0
57;SNCI11;Títulos e Val. Mob.;101.39;11293.0;1.25;1.23;3.82;7.78;0.00;1.27;1.30;0.00;9.12;-2.08;-0.88;6.80;252.128.060.08;100.85;101.0;1.29;1.92;3.24;5.89;0;0;0
58;MATV11;Títulos e Val. Mob.;95.98;508.0;1.10;1.13;3.80;7.58;0.00;1.27;1.26;0.00;8.71;-2.67;-1.57;7.94;33.257.502.10;95.77;100.0;1.36;-1.92;-0.59;0.53;0;0;0
59;BTLG11;Logística;103.80;41660.0;0.74;0.73;2.27;4.37;8.50;0.76;0.73;0.71;5.07;3.89;4.64;4.61;1.504.876.179.16;98.82;105.0;0.73;-0.22;0.51;1.24;0;2.00;16
60;MCHY11;Títulos e Val. Mob.;110.57;75.0;1.40;1.29;3.82;7.51;13.12;1.27;1.25;1.09;8.68;1.06;2.36;6.97;378.460.842.38;105.43;105.0;1.33;0.72;2.06;7.10;0;0;0
61;BTAL11;Outros;101.65;8531.0;0.83;0.87;2.59;5.11;10.20;0.86;0.85;0.85;5.95;3.12;4.01;8.01;640.913.930.58;107.13;95.0;0.77;3.32;4.12;6.31;0;0;7
62;MORC11;Títulos e Val. Mob.;95.50;3117.0;1.30;1.36;4.29;8.71;0.00;1.43;1.45;0.00;9.82;-2.39;-1.07;5.67;78.429.486.55;100.56;95.0;1.49;-0.28;1.21;2.33;0;0;0
63;CCRF11;Títulos e Val. Mob.;97.99;8.0;1.10;1.11;3.77;7.30;0.00;1.26;1.22;0.00;8.65;-0.02;1.09;7.97;159.364.709.06;101.38;97.0;1.18;1.36;2.56;4.87;0;0;0
64;EQIR11;Títulos e Val. Mob.;94.00;165.0;1.10;1.15;3.52;6.80;0.00;1.17;1.13;0.00;7.87;-1.00;0.13;5.94;50.869.350.45;101.23;93.0;1.19;-0.70;0.47;2.94;0;0;0
65;ERCR11;Híbrido;76000.00;1.0;783.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;166.082.499.49;69.900.04;109.0;1.08;-0.85;0.22;2.28;0;0;0
66;XPML11;Shoppings;107.39;35300.0;0.70;0.68;2.12;4.19;7.96;0.71;0.70;0.66;4.83;10.98;11.73;15.63;1.853.519.855.76;99.22;108.0;0.70;0.00;0.70;1.20;3.90;0;16
67;FCFL11;Outros;125.76;2700.0;0.87;0.74;2.21;4.37;8.67;0.74;0.73;0.72;5.09;4.99;5.76;9.03;363.962.873.44;104.77;120.0;0.84;-0.01;0.82;2.47;0.00;0;1
68;ALZR11;Logística;116.33;17456.0;0.78;0.67;2.04;4.06;7.68;0.68;0.68;0.64;4.69;3.33;4.02;5.71;642.298.148.70;108.46;107.0;0.71;-0.05;0.67;1.34;0.00;0;15
69;FLRP11;Shoppings;1579.99;2.0;10.00;0.63;2.33;4.70;8.08;0.78;0.78;0.67;5.37;5.48;6.14;38.89;112.693.577.60;1.727.58;91.0;0.58;0.48;1.06;3.30;2.01;0;1
70;CNES11;Lajes Corporativas;33.90;290.0;0.10;0.26;0.83;1.49;3.62;0.28;0.25;0.30;1.88;9.28;9.57;9.97;257.461.125.79;87.30;39.0;0.11;0.84;0.95;1.16;56.70;0;1
71;BTRA11;Outros;88.50;4789.0;0.70;0.74;2.46;5.21;10.20;0.82;0.87;0.85;6.12;17.36;18.23;2.45;348.490.615.97;103.58;85.0;0.68;0.25;0.93;3.63;0;0;0
72;EDGA11;Lajes Corporativas;20.84;127.0;0.09;0.47;2.12;4.51;7.21;0.71;0.75;0.60;4.99;8.99;9.50;-4.41;252.351.519.37;66.20;31.0;0.26;-0.06;0.20;0.36;48.81;0;1
73;LASC11;Shoppings;91.99;1108.0;0.36;0.39;1.46;3.26;6.79;0.49;0.54;0.57;4.48;0.00;0.39;6.89;282.238.377.82;112.08;82.0;0.56;-0.16;0.40;1.92;2.40;0;3
74;EVBI11;Híbrido;97.57;1.0;0.75;0.76;2.28;4.64;9.20;0.76;0.77;0.77;5.45;1.11;1.88;12.36;139.260.195.05;99.63;98.0;0.75;-0.18;0.57;5.20;0.00;0;4
75;VVPR11;Híbrido;100.68;258.0;0.73;0.73;2.41;4.84;9.58;0.80;0.81;0.80;5.69;0.52;1.25;12.68;238.445.073.76;103.41;97.0;0.74;0.02;0.76;1.53;0.00;0;6
76;KNHY11;Títulos e Val. Mob.;98.69;21464.0;0.76;0.78;3.19;7.53;14.89;1.06;1.26;1.24;9.80;-0.05;0.72;1.08;1.785.396.476.42;96.56;102.0;1.20;-0.81;0.38;7.72;0;0;0
77;BARI11;Títulos e Val. Mob.;97.41;6891.0;1.05;1.06;3.94;7.72;14.52;1.31;1.29;1.21;9.84;-1.26;-0.21;4.14;473.301.722.34;102.13;95.0;1.37;-0.21;1.16;6.66;0;0;0
78;KNCR11;Títulos e Val. Mob.;101.60;90351.0;1.30;1.26;3.41;6.40;10.65;1.14;1.07;0.89;8.05;0.50;1.77;11.70;4.447.594.100.11;101.40;100.0;1.13;0.31;1.45;7.48;0;0;0
79;KNSC11;Títulos e Val. Mob.;85.55;30198.0;0.70;0.82;2.98;6.77;14.51;0.99;1.13;1.21;9.08;-6.62;-5.85;-6.25;1.171.973.199.00;88.28;97.0;1.03;-0.52;0.51;6.56;0;0;0
80;KNCA11;Títulos e Val. Mob.;106.85;8580.0;1.46;1.36;3.66;7.22;0.00;1.22;1.20;0.00;8.21;0.47;1.84;5.29;817.507.414.14;100.93;106.0;1.20;0.00;1.20;6.84;0;0;0
81;HUSI11;Hospital;1071.00;1.0;7.95;0.74;0.00;0.00;0.00;0.00;0.00;0.00;0.74;0.00;0.74;0.74;113.411.147.32;983.09;109.0;0;0;0;0;0;0;0
82;JSRE11;Híbrido;84.35;26883.0;0.49;0.56;1.86;3.79;7.92;0.62;0.63;0.66;5.14;15.50;16.15;15.53;2.356.969.687.19;113.49;74.0;0.43;-0.09;0.34;2.63;14.80;13.40;5
83;XPCA11;Títulos e Val. Mob.;10.44;75602.0;0.14;1.27;4.01;8.17;0.00;1.34;1.36;0.00;10.34;7.30;8.67;26.42;168.021.488.19;9.50;110.0;1.47;-0.19;1.28;9.33;0;0;0
84;XPCI11;Outros;92.40;14312.0;0.96;1.01;3.21;6.90;13.25;1.07;1.15;1.10;9.18;2.02;3.05;6.57;844.665.897.07;97.07;95.0;1.05;-0.37;0.68;10.55;0;0;0
85;LUGG11;Residencial;79.50;1687.0;0.52;0.66;2.01;4.22;7.82;0.67;0.70;0.65;5.47;-2.07;-1.42;-4.57;115.089.203.18;127.88;62.0;0.41;0.03;0.43;6.06;2.40;0;4
86;LGCP11;Logística;86.34;1137.0;0.62;0.73;2.32;4.61;8.81;0.77;0.77;0.73;6.09;10.67;11.47;10.12;279.131.782.37;102.14;85.0;0.61;0.02;0.63;4.94;0.50;0;5
87;HGRE11;Lajes Corporativas;140.24;11238.0;0.78;0.55;1.78;3.55;8.27;0.59;0.59;0.69;4.60;16.37;17.00;12.97;1.914.484.396.71;162.00;87.0;0.48;-0.16;0.32;0.90;27.13;29.17;21
88;RNGO11;Lajes Corporativas;53.04;1711.0;0.43;0.78;2.62;4.92;8.90;0.87;0.82;0.74;6.34;19.70;20.63;15.48;234.662.553.74;87.69;60.0;0.46;0.11;0.56;3.34;24.10;0;3
89;FVPQ11;Shoppings;117.66;735.0;0.52;0.44;1.72;3.65;7.22;0.57;0.61;0.60;5.26;4.01;4.47;22.72;557.034.773.89;198.93;59.0;0.36;0.27;0.63;3.21;5.50;0;1
90;RBRS11;Híbrido;64.00;802.0;0.40;0.64;2.39;4.59;8.34;0.80;0.76;0.69;5.86;9.51;10.21;-2.19;147.033.252.03;90.79;70.0;0.45;-1.44;-1.00;-0.14;0;0;0
91;HOSI11;Híbrido;64.66;753.0;0.44;0.64;1.81;3.32;7.03;0.60;0.55;0.59;4.32;3.67;4.33;-2.15;52.936.715.00;92.31;70.0;0.61;-0.08;0.53;2.41;0;0;2
92;RBED11;Outros;134.00;568.0;1.23;0.89;2.92;5.71;10.85;0.97;0.95;0.90;7.56;18.81;19.87;23.54;284.863.444.53;140.91;95.0;0.84;-0.65;0.18;5.35;0.00;0;5
93;HREC11;Títulos e Val. Mob.;97.98;14.0;0.80;0.82;3.39;6.73;12.22;1.13;1.12;1.02;8.59;-0.20;0.61;11.21;422.021.345.84;90.63;108.0;1.21;-1.35;-0.15;6.93;0;0;0
94;PQAG11;Logística;56.00;5.0;0.42;0.74;2.19;4.28;8.11;0.73;0.71;0.68;5.68;0.11;0.84;6.96;801.813.893.38;57.31;98.0;0.73;0.00;0.74;5.89;0.00;0;1
95;ITIP11;Títulos e Val. Mob.;83.00;850.0;0.94;1.15;3.70;7.23;14.04;1.23;1.21;1.17;9.63;1.36;2.52;10.96;63.335.350.67;84.66;98.0;1.11;-1.26;-0.16;4.29;0;0;0
96;HFOF11;Títulos e Val. Mob.;75.40;31823.0;0.62;0.81;2.56;4.97;9.44;0.85;0.83;0.79;6.51;11.13;12.02;3.99;1.890.308.886.98;82.19;92.0;0.75;0.05;0.80;2.04;0;0;0
97;FIGS11;Shoppings;56.50;3340.0;0.37;0.63;2.23;4.35;8.08;0.74;0.72;0.67;5.71;20.94;21.70;14.02;283.566.888.70;99.50;57.0;0.37;0.04;0.41;2.52;13.70;0;2
98;WPLZ11;Shoppings;82.00;34.0;0.50;0.66;1.88;3.11;5.49;0.63;0.52;0.46;3.88;11.72;12.45;10.12;105.001.583.03;102.87;80.0;0.44;0.03;0.46;2.45;11.00;0;1
99;HABT11;Títulos e Val. Mob.;95.00;15227.0;1.03;1.06;3.65;7.33;14.74;1.22;1.22;1.23;9.62;-1.98;-0.94;-4.17;809.759.890.09;99.64;95.0;1.30;0.09;1.39;11.29;0;0;0
100;ARRI11;Títulos e Val. Mob.;8.92;39962.0;0.11;1.17;3.82;7.93;16.47;1.27;1.32;1.37;10.53;-89.75;-89.63;-89.63;108.835.561.27;92.37;10.0;1.42;-1.26;0.14;7.14;0;0;0
101;CACR11;Híbrido;100.24;4846.0;1.54;1.52;4.40;7.40;15.44;1.47;1.23;1.29;10.17;3.54;5.12;4.19;186.509.870.57;103.19;97.0;1.49;0.19;1.68;33.38;0;0;0
102;SHPH11;Shoppings;810.00;35.0;4.25;0.53;1.55;2.79;5.66;0.52;0.47;0.47;3.90;11.11;11.70;3.18;541.097.847.39;888.58;91.0;0.50;-0.02;0.48;2.65;10.80;0;1
103;JGPX11;Híbrido;97.51;1430.0;1.20;1.22;3.38;7.13;0.00;1.13;1.19;0.00;9.32;-0.26;0.95;11.23;81.070.456.27;95.59;102.0;1.03;-0.28;0.74;7.82;0;0;0
104;SPVJ11;Outros;0;0.0;0.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;677.158.890.81;107.28;0;0.63;-0.14;0.50;4.07;0;0;0
105;MXRF11;Híbrido;10.19;614388.0;0.11;1.07;3.32;6.63;11.99;1.11;1.11;1.00;8.60;5.31;6.43;23.53;2.302.693.543.19;10.19;100.0;0.98;-0.02;0.96;2.22;0;0;0
106;XPLG11;Logística;106.20;27892.0;0.72;0.67;2.16;4.22;8.17;0.72;0.70;0.68;5.59;11.63;12.37;16.20;3.081.481.314.66;113.70;93.0;0.63;0.04;0.67;7.90;8.80;1.20;13
107;URPR11;Outros;102.87;36076.0;1.62;1.56;4.32;9.25;18.15;1.44;1.54;1.51;12.01;-4.88;-3.40;-2.95;989.467.692.31;100.37;102.0;1.20;0.58;1.79;18.04;0;0;0
108;PLOG11;Logística;75.66;588.0;0.75;0.95;3.13;6.28;12.15;1.04;1.05;1.01;8.40;19.27;20.40;15.10;75.240.446.69;100.32;75.0;0.75;-0.03;0.72;5.50;20.40;0;1
109;PORD11;Títulos e Val. Mob.;95.93;11179.0;1.15;1.19;4.49;8.85;15.55;1.50;1.48;1.30;11.27;-1.15;0.03;15.47;366.044.551.48;98.18;98.0;1.53;-1.03;0.48;5.42;0;0;0
110;NVHO11;Hospital;10.06;2541.0;0.08;0.74;2.13;3.64;7.33;0.71;0.61;0.61;3.64;-0.94;-0.22;4.88;528.046.888.61;12.73;79.0;0.61;0.04;0.65;3.47;0;0;1
111;NEWL11;Híbrido;101.80;333.0;0.90;0.87;3.66;6.09;11.35;1.22;1.01;0.95;7.66;9.42;10.37;8.60;263.648.181.22;129.68;79.0;0.69;11.86;12.63;18.42;0.00;0;2
112;IDFI11;Híbrido;68.00;168.0;0.91;1.22;4.40;8.35;0.00;1.47;1.39;0.00;11.09;-9.22;-8.12;-18.10;180.214.602.95;87.57;78.0;1.48;-7.89;-6.53;-10.00;0;0;0
113;HSAF11;Títulos e Val. Mob.;85.00;2577.0;1.00;1.15;3.54;7.26;14.11;1.18;1.21;1.18;9.62;-6.95;-5.88;1.02;235.607.185.56;93.26;91.0;1.07;-1.05;0.01;7.36;0;0;0
114;SARE11;Híbrido;79.75;19533.0;0.65;0.81;2.77;5.29;10.55;0.92;0.88;0.88;7.06;14.23;15.15;19.12;906.170.466.07;98.13;81.0;0.66;-0.26;0.40;3.47;6.20;0;3
115;NSLU11;Hospital;170.64;12293.0;0.85;0.50;1.56;3.98;8.92;0.52;0.66;0.74;1.56;12.26;12.81;14.01;238.028.433.66;207.92;82.0;0;0;0;0;0.00;0;1
116;PVBI11;Lajes Corporativas;97.42;21751.0;0.56;0.57;1.79;3.58;7.38;0.60;0.60;0.62;4.21;7.91;8.52;16.38;996.236.330.26;99.23;98.0;0.56;0.10;0.66;1.65;0.10;0;4
117;LVBI11;Logística;111.46;10302.0;0.75;0.66;2.16;4.35;8.59;0.72;0.72;0.72;5.06;15.23;15.99;20.78;1.360.439.203.91;115.53;96.0;0.64;0.63;1.28;2.48;0.50;0.00;10
118;PQDP11;Shoppings;2290.00;63.0;17.87;0.80;2.59;4.38;8.60;0.86;0.73;0.72;5.24;13.17;14.07;16.26;815.397.327.57;3.321.20;69.0;0.43;-1.05;-0.63;0.27;3.60;0;1
119;FIIB11;Híbrido;489.97;554.0;3.55;0.74;2.29;4.54;8.91;0.76;0.76;0.74;5.23;7.35;8.14;9.93;312.880.251.65;456.76;107.0;0.78;-0.03;0.75;5.23;6.28;0;1
120;ABCP11;Shoppings;75.66;1492.0;0.55;0.72;2.28;4.65;9.31;0.76;0.78;0.78;6.27;13.02;13.84;9.38;1.119.952.411.71;91.77;82.0;0.60;0.02;0.62;5.14;7.50;0;1
121;RBCO11;Lajes Corporativas;41.58;4297.0;0.25;0.56;2.35;4.85;9.30;0.78;0.81;0.77;6.19;14.23;14.87;-15.21;322.783.969.76;85.42;49.0;0.41;-0.26;0.14;-12.66;46.00;50.00;4
